emp_id,name,department,salary,performance_rating,hire_date
EMP001,Employee 1,HR,132047,3.44,2024-08-28
EMP002,Employee 2,Finance,61753,2.64,2020-06-24
EMP003,Employee 3,Finance,125888,3.79,2023-07-27
EMP004,Employee 4,Sales,117001,3.8,2020-05-24
EMP005,Employee 5,Sales,128036,4.88,2023-11-14
EMP006,Employee 6,Sales,56457,3.84,2023-09-21
EMP007,Employee 7,Engineering,106381,2.65,2020-10-07
EMP008,Employee 8,Sales,140156,4.68,2023-11-13
EMP009,Employee 9,Marketing,57483,4.13,2024-04-14
EMP010,Employee 10,Sales,54853,2.87,2024-04-03
EMP011,Employee 11,HR,107353,2.89,2024-06-27
EMP012,Employee 12,Marketing,97723,3.56,2020-09-28
EMP013,Employee 13,HR,127561,4.17,2023-01-12
EMP014,Employee 14,Finance,116151,4.07,2022-09-26
EMP015,Employee 15,Engineering,50186,4.21,2022-12-09
EMP016,Employee 16,Marketing,70316,2.91,2021-06-18
EMP017,Employee 17,Sales,52313,4.71,2023-11-04
EMP018,Employee 18,Marketing,143727,2.96,2021-04-12
EMP019,Employee 19,Sales,63492,4.59,2022-06-25
EMP020,Employee 20,Sales,126322,3.91,2021-07-06
EMP021,Employee 21,Engineering,78134,2.9,2023-03-17
EMP022,Employee 22,HR,96882,4.47,2020-07-07
EMP023,Employee 23,Sales,80763,4.91,2022-07-15
EMP024,Employee 24,HR,98930,2.73,2023-01-06
EMP025,Employee 25,Marketing,144109,3.37,2021-01-15
EMP026,Employee 26,Engineering,74909,2.62,2021-05-11
EMP027,Employee 27,Marketing,84421,2.93,2024-03-27
EMP028,Employee 28,HR,45171,4.72,2020-02-19
EMP029,Employee 29,Engineering,119490,4.47,2023-08-02
EMP030,Employee 30,Sales,100131,2.85,2023-11-03
EMP031,Employee 31,Engineering,77374,3.07,2021-11-11
EMP032,Employee 32,Sales,114048,4.85,2024-02-13
EMP033,Employee 33,Sales,130274,4.98,2022-10-09
EMP034,Employee 34,Sales,79432,4.25,2022-02-22
EMP035,Employee 35,Sales,100128,4.6,2024-05-07
EMP036,Employee 36,Marketing,124589,2.95,2020-04-07
EMP037,Employee 37,HR,88755,4.6,2021-04-04
EMP038,Employee 38,HR,49656,2.97,2022-09-11
EMP039,Employee 39,Finance,83406,3.74,2021-03-19
EMP040,Employee 40,Engineering,58108,2.91,2020-06-16
EMP041,Employee 41,Marketing,96429,2.61,2024-06-20
EMP042,Employee 42,Sales,87219,4.6,2021-03-14
EMP043,Employee 43,Finance,67893,3.14,2020-04-02
EMP044,Employee 44,HR,135787,3.35,2022-08-18
EMP045,Employee 45,Sales,147821,2.66,2024-09-05
EMP046,Employee 46,HR,65942,2.82,2022-01-22
EMP047,Employee 47,Sales,111342,4.92,2023-06-21
EMP048,Employee 48,HR,118622,4.54,2023-05-26
EMP049,Employee 49,Engineering,132899,3.54,2020-03-27
EMP050,Employee 50,Marketing,137595,4.57,2020-05-25
